,domain_no,hmm_species,chain_type,e-value,score,seqstart_index,seqend_index,identity_species,v_gene,v_identity,j_gene,j_identity,unaligned_len,resolution,method,r_factor,date,year,dataset
8D3A:H,0,alpaca,H,3.6e-53,170.4,0,125,,,0.0,,0.0,227,2.9,X-RAY DIFFRACTION,0.229,2022-10-12,2022,test_new_234
8D3A:L,0,human,L,3.1e-42,134.8,0,111,,,0.0,,0.0,214,2.9,X-RAY DIFFRACTION,0.229,2022-10-12,2022,test_new_234
8D47:H,0,human,H,2.1e-52,167.7,0,129,,,0.0,,0.0,225,2,X-RAY DIFFRACTION,0.184,2022-12-21,2022,test_new_234
8D47:L,0,human,K,3.4e-52,166.9,0,108,,,0.0,,0.0,212,2,X-RAY DIFFRACTION,0.184,2022-12-21,2022,test_new_234
8D48:H,0,human,H,4.4e-57,182.9,0,120,,,0.0,,0.0,223,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
8D48:L,0,human,K,3.6e-60,192.6,0,113,,,0.0,,0.0,220,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
8D54:H,0,mouse,H,1.4999999999999999e-53,171.3,0,121,,,0.0,,0.0,222,1.4,X-RAY DIFFRACTION,0.169,2022-12-14,2022,test_new_234
8D54:L,0,mouse,K,1.7e-54,174.4,0,111,,,0.0,,0.0,218,1.4,X-RAY DIFFRACTION,0.169,2022-12-14,2022,test_new_234
8D6Z:H,0,alpaca,H,7.7999999999999985e-56,179.0,0,120,,,0.0,,0.0,222,2.3,X-RAY DIFFRACTION,0.235,2022-07-27,2022,test_new_234
8D6Z:L,0,human,K,3.4e-52,166.9,0,108,,,0.0,,0.0,214,2.3,X-RAY DIFFRACTION,0.235,2022-07-27,2022,test_new_234
8D7E:H,0,alpaca,H,1.9000000000000001e-59,190.7,0,116,,,0.0,,0.0,217,0,ELECTRON MICROSCOPY,,2023-03-29,2023,test_new_234
8D7E:L,0,rhesus,K,8e-59,188.5,0,108,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2023-03-29,2023,test_new_234
8D9Y:H,0,alpaca,H,4.3e-52,166.9,0,125,,,0.0,,0.0,219,2.2,X-RAY DIFFRACTION,0.209,2023-06-14,2023,test_new_234
8D9Y:L,0,human,K,1.7000000000000002e-58,187.2,0,107,,,0.0,,0.0,213,2.2,X-RAY DIFFRACTION,0.209,2023-06-14,2023,test_new_234
8D9Z:H,0,alpaca,H,4.7e-52,166.8,0,125,,,0.0,,0.0,227,1.8,X-RAY DIFFRACTION,0.165,2023-06-14,2023,test_new_234
8D9Z:L,0,human,K,1.7000000000000002e-58,187.2,0,107,,,0.0,,0.0,213,1.8,X-RAY DIFFRACTION,0.165,2023-06-14,2023,test_new_234
8DA0:H,0,alpaca,H,5.1e-52,166.7,0,125,,,0.0,,0.0,234,2.2,X-RAY DIFFRACTION,0.196,2023-06-14,2023,test_new_234
8DA0:L,0,human,K,1.8e-58,187.2,0,107,,,0.0,,0.0,214,2.2,X-RAY DIFFRACTION,0.196,2023-06-14,2023,test_new_234
8DA1:H,0,alpaca,H,4.7e-52,166.8,0,125,,,0.0,,0.0,227,2.67,X-RAY DIFFRACTION,0.185,2023-06-14,2023,test_new_234
8DA1:L,0,human,K,1.7000000000000002e-58,187.2,0,107,,,0.0,,0.0,213,2.67,X-RAY DIFFRACTION,0.185,2023-06-14,2023,test_new_234
8DAD:H,0,human,H,9.3e-53,168.9,0,122,,,0.0,,0.0,123,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
8DAD:L,0,rhesus,K,3.9e-57,183.0,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
8DAO:H,0,alpaca,H,2.7000000000000002e-58,187.0,0,125,,,0.0,,0.0,126,2.8,X-RAY DIFFRACTION,0.231,2022-07-27,2022,test_new_234
8DAO:L,0,human,K,2.6e-59,189.9,0,108,,,0.0,,0.0,109,2.8,X-RAY DIFFRACTION,0.231,2022-07-27,2022,test_new_234
8DB4:H,0,alpaca,H,9.9e-58,185.1,0,123,,,0.0,,0.0,222,2.3,X-RAY DIFFRACTION,0.211,2023-01-25,2023,test_new_234
8DB4:L,0,human,K,1.1e-46,149.0,0,103,,,0.0,,0.0,209,2.3,X-RAY DIFFRACTION,0.211,2023-01-25,2023,test_new_234
8DCC:H,0,human,H,2.7e-56,180.3,0,126,,,0.0,,0.0,229,2.6,X-RAY DIFFRACTION,0.221,2022-07-06,2022,test_new_234
8DCC:L,0,rhesus,L,9.999999999999999e-55,175.3,0,110,,,0.0,,0.0,213,2.6,X-RAY DIFFRACTION,0.221,2022-07-06,2022,test_new_234
8DCN:H,0,mouse,H,1.1000000000000004e-59,191.1,0,119,,,0.0,,0.0,214,2.6,X-RAY DIFFRACTION,0.227,2023-04-05,2023,test_new_234
8DCN:L,0,mouse,K,7e-57,182.1,0,112,,,0.0,,0.0,218,2.6,X-RAY DIFFRACTION,0.227,2023-04-05,2023,test_new_234
8DD2:H,0,mouse,H,2.9e-56,180.1,0,115,,,0.0,,0.0,116,2.9,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
8DD2:L,0,mouse,K,1e-49,158.9,0,104,,,0.0,,0.0,105,2.9,ELECTRON MICROSCOPY,,2022-08-17,2022,test_new_234
8DE4:H,0,mouse,H,3.4999999999999995e-55,176.6,0,117,,,0.0,,0.0,118,2.9,ELECTRON MICROSCOPY,,2023-07-05,2023,test_new_234
8DE4:L,0,mouse,K,3e-51,163.9,0,109,,,0.0,,0.0,110,2.9,ELECTRON MICROSCOPY,,2023-07-05,2023,test_new_234
8DF5:H,0,alpaca,H,6.2e-59,189.0,0,119,,,0.0,,0.0,217,2.7,X-RAY DIFFRACTION,0.177,2022-08-03,2022,test_new_234
8DF5:L,0,human,K,4.5e-59,189.1,0,108,,,0.0,,0.0,215,2.7,X-RAY DIFFRACTION,0.177,2022-08-03,2022,test_new_234
8DFG:H,0,human,H,2.6e-50,161.0,0,123,,,0.0,,0.0,218,2,X-RAY DIFFRACTION,0.225,2022-10-12,2022,test_new_234
8DFG:L,0,human,K,1.3e-52,168.2,0,107,,,0.0,,0.0,213,2,X-RAY DIFFRACTION,0.225,2022-10-12,2022,test_new_234
8DFH:H,0,alpaca,H,1.7e-52,168.2,0,119,,,0.0,,0.0,218,2.3,X-RAY DIFFRACTION,0.209,2022-10-12,2022,test_new_234
8DFH:L,0,rhesus,L,1e-50,162.3,0,108,,,0.0,,0.0,211,2.3,X-RAY DIFFRACTION,0.209,2022-10-12,2022,test_new_234
8DFI:H,0,alpaca,H,9e-57,182.0,0,120,,,0.0,,0.0,212,1.9,X-RAY DIFFRACTION,0.175,2022-10-12,2022,test_new_234
8DFI:L,0,human,L,3.2000000000000004e-48,154.2,0,109,,,0.0,,0.0,213,1.9,X-RAY DIFFRACTION,0.175,2022-10-12,2022,test_new_234
8DG9:H,0,alpaca,H,5.1e-60,192.5,0,119,,,0.0,,0.0,120,2.24,ELECTRON MICROSCOPY,,2023-02-22,2023,test_new_234
8DG9:L,0,rhesus,L,1.5e-52,168.2,0,110,,,0.0,,0.0,111,2.24,ELECTRON MICROSCOPY,,2023-02-22,2023,test_new_234
8DGU:H,0,human,H,4.6e-57,182.8,0,116,,,0.0,,0.0,218,1.89,X-RAY DIFFRACTION,0.214,2023-01-25,2023,test_new_234
8DGU:L,0,rhesus,L,5.1e-50,160.1,0,110,,,0.0,,0.0,213,1.89,X-RAY DIFFRACTION,0.214,2023-01-25,2023,test_new_234
8DGV:H,0,human,H,4.8e-55,176.3,0,117,,,0.0,,0.0,212,2.3,X-RAY DIFFRACTION,0.203,2023-01-25,2023,test_new_234
8DGV:L,0,human,K,4.3e-50,160.0,0,103,,,0.0,,0.0,208,2.3,X-RAY DIFFRACTION,0.203,2023-01-25,2023,test_new_234
8DGW:H,0,human,H,2.499999999999999e-55,177.2,0,116,,,0.0,,0.0,213,2.81,X-RAY DIFFRACTION,0.217,2023-01-25,2023,test_new_234
8DGW:L,0,rhesus,L,9.8e-52,165.6,0,109,,,0.0,,0.0,211,2.81,X-RAY DIFFRACTION,0.217,2023-01-25,2023,test_new_234
8DGX:H,0,human,H,2.3e-54,174.1,0,114,,,0.0,,0.0,216,2.89,X-RAY DIFFRACTION,0.233,2023-01-25,2023,test_new_234
8DGX:L,0,human,K,6.5e-56,178.9,0,109,,,0.0,,0.0,213,2.89,X-RAY DIFFRACTION,0.233,2023-01-25,2023,test_new_234
8DIM:H,0,human,H,2.4e-49,157.9,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-11-16,2022,test_new_234
8DIM:L,0,human,L,5.499999999999999e-53,169.6,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-11-16,2022,test_new_234
8DIS:H,0,human,H,3.6e-50,160.5,0,118,,,0.0,,0.0,119,2.62,ELECTRON MICROSCOPY,,2023-06-07,2023,test_new_234
8DIS:L,0,human,L,5.499999999999999e-53,169.6,0,108,,,0.0,,0.0,109,2.62,ELECTRON MICROSCOPY,,2023-06-07,2023,test_new_234
8DIU:H,0,human,H,3.6e-50,160.5,0,118,,,0.0,,0.0,119,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
8DIU:L,0,human,L,5.499999999999999e-53,169.6,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-12-14,2022,test_new_234
8DJG:H,0,alpaca,H,5.100000000000001e-59,189.3,0,121,,,0.0,,0.0,223,2.65,X-RAY DIFFRACTION,0.237,2023-02-15,2023,test_new_234
8DJG:L,0,human,K,7.7e-54,172.2,0,103,,,0.0,,0.0,210,2.65,X-RAY DIFFRACTION,0.237,2023-02-15,2023,test_new_234
8DK6:H,0,mouse,H,8.099999999999999e-55,175.4,0,117,,,0.0,,0.0,219,2.45,X-RAY DIFFRACTION,0.203,2023-03-29,2023,test_new_234
8DK6:L,0,mouse,K,6.200000000000001e-58,185.5,0,113,,,0.0,,0.0,218,2.45,X-RAY DIFFRACTION,0.203,2023-03-29,2023,test_new_234
8DK7:H,0,alpaca,H,1.1e-60,194.7,0,121,,,0.0,,0.0,223,2.46,X-RAY DIFFRACTION,0.246,2022-11-30,2022,test_new_234
8DK7:L,0,rhesus,K,1.3e-56,181.3,0,107,,,0.0,,0.0,211,2.46,X-RAY DIFFRACTION,0.246,2022-11-30,2022,test_new_234
8DKE:H,0,alpaca,H,4.699999999999998e-55,176.5,0,111,,,0.0,,0.0,113,0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
8DKE:L,0,rat,K,5.099999999999999e-53,169.7,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
8DKF:H,0,alpaca,H,2.2e-55,177.6,0,124,,,0.0,,0.0,225,1.79,X-RAY DIFFRACTION,0.239,2023-07-12,2023,test_new_234
8DKF:L,0,rhesus,K,3.8e-55,176.6,0,112,,,0.0,,0.0,217,1.79,X-RAY DIFFRACTION,0.239,2023-07-12,2023,test_new_234
8DKW:H,0,alpaca,H,4.699999999999998e-55,176.5,0,111,,,0.0,,0.0,113,0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
8DKW:L,0,rat,K,5.099999999999999e-53,169.7,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
8DKX:H,0,alpaca,H,4.699999999999998e-55,176.5,0,111,,,0.0,,0.0,113,0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
8DKX:L,0,rat,K,5.099999999999999e-53,169.7,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-09-21,2022,test_new_234
8DL6:H,0,mouse,H,1.3000000000000002e-57,184.4,0,119,,,0.0,,0.0,219,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
8DL6:L,0,mouse,K,2.8e-53,170.5,0,107,,,0.0,,0.0,213,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
8DL7:H,0,mouse,H,1.3000000000000002e-57,184.4,0,119,,,0.0,,0.0,219,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
8DL7:L,0,mouse,K,2.8e-53,170.5,0,107,,,0.0,,0.0,213,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
8DL8:H,0,mouse,H,1.3000000000000002e-57,184.4,0,119,,,0.0,,0.0,219,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
8DL8:L,0,mouse,K,2.8e-53,170.5,0,107,,,0.0,,0.0,213,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
8DLR:H,0,human,H,6e-52,166.3,0,123,,,0.0,,0.0,125,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DLR:L,0,human,L,3.5e-52,167.0,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DLS:H,0,human,H,3.3e-55,176.8,0,127,,,0.0,,0.0,128,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DLS:L,0,human,K,6e-57,182.2,0,111,,,0.0,,0.0,112,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DLW:H,0,human,H,2.7e-54,173.9,0,121,,,0.0,,0.0,122,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DLW:L,0,rhesus,K,1.5e-56,181.1,0,104,,,0.0,,0.0,105,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DM3:H,0,human,H,3.3e-55,176.8,0,127,,,0.0,,0.0,128,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
8DM3:L,0,human,K,6e-57,182.2,0,111,,,0.0,,0.0,112,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
8DM4:H,0,human,H,3.3e-55,176.8,0,127,,,0.0,,0.0,128,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
8DM4:L,0,human,K,6e-57,182.2,0,111,,,0.0,,0.0,112,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
8DMH:H,0,alpaca,H,7e-54,172.7,0,120,,,0.0,,0.0,121,0,ELECTRON MICROSCOPY,,2023-04-12,2023,test_new_234
8DMH:L,0,rhesus,K,3e-53,170.4,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2023-04-12,2023,test_new_234
8DN6:H,0,alpaca,H,4.3e-61,196.0,0,119,,,0.0,,0.0,220,3,X-RAY DIFFRACTION,0.240,2023-05-17,2023,test_new_234
8DN6:L,0,rhesus,K,4.8e-57,182.7,0,107,,,0.0,,0.0,214,3,X-RAY DIFFRACTION,0.240,2023-05-17,2023,test_new_234
8DN7:H,0,pig,H,4.1e-58,186.4,0,125,,,0.0,,0.0,223,2,X-RAY DIFFRACTION,0.211,2023-05-17,2023,test_new_234
8DN7:L,0,human,K,1.8e-56,180.7,0,108,,,0.0,,0.0,214,2,X-RAY DIFFRACTION,0.211,2023-05-17,2023,test_new_234
8DOZ:H,0,mouse,H,1.5e-54,174.5,0,116,,,0.0,,0.0,211,1.7,X-RAY DIFFRACTION,0.177,2023-06-21,2023,test_new_234
8DOZ:L,0,mouse,L,1.1e-58,187.9,0,108,,,0.0,,0.0,211,1.7,X-RAY DIFFRACTION,0.177,2023-06-21,2023,test_new_234
8DP3:H,0,alpaca,H,1.1e-60,194.6,0,121,,,0.0,,0.0,225,1.91,X-RAY DIFFRACTION,0.209,2023-04-19,2023,test_new_234
8DP3:L,0,rhesus,K,2.2e-56,180.6,0,107,,,0.0,,0.0,214,1.91,X-RAY DIFFRACTION,0.209,2023-04-19,2023,test_new_234
8DPM:H,0,human,H,1e-48,155.8,0,118,,,0.0,,0.0,119,3.0,ELECTRON MICROSCOPY,,2023-07-19,2023,test_new_234
8DPM:L,0,rhesus,L,4e-53,170.1,0,109,,,0.0,,0.0,110,3.0,ELECTRON MICROSCOPY,,2023-07-19,2023,test_new_234
8DS5:H,0,human,H,2.2e-55,177.4,0,115,,,0.0,,0.0,212,1.926,X-RAY DIFFRACTION,0.209,2022-09-28,2022,test_new_234
8DS5:L,0,mouse,K,1.3e-52,168.4,0,106,,,0.0,,0.0,212,1.926,X-RAY DIFFRACTION,0.209,2022-09-28,2022,test_new_234
8DS7:H,0,mouse,H,1.6e-57,184.1,0,116,,,0.0,,0.0,214,1.88,X-RAY DIFFRACTION,0.156,2024-02-07,2024,test_new_234
8DS7:L,0,human,K,5.1e-57,182.4,0,112,,,0.0,,0.0,219,1.88,X-RAY DIFFRACTION,0.156,2024-02-07,2024,test_new_234
8DT3:H,0,mouse,H,6.600000000000001e-59,188.6,0,120,,,0.0,,0.0,123,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
8DT3:L,0,mouse,K,3.899999999999999e-55,176.5,0,107,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
8DTO:H,0,human,H,2.8e-51,164.1,0,125,,,0.0,,0.0,126,0,ELECTRON MICROSCOPY,,2023-04-19,2023,test_new_234
8DTO:L,0,rhesus,L,3.8e-48,154.0,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2023-04-19,2023,test_new_234
8DTR:H,0,human,H,7.2e-50,159.6,0,112,,,0.0,,0.0,207,1.5,X-RAY DIFFRACTION,0.198,2022-11-23,2022,test_new_234
8DTR:L,0,human,K,1.2e-52,168.4,0,110,,,0.0,,0.0,216,1.5,X-RAY DIFFRACTION,0.198,2022-11-23,2022,test_new_234
8DTT:H,0,human,H,3.5e-53,170.2,0,114,,,0.0,,0.0,213,1.75,X-RAY DIFFRACTION,0.195,2022-11-23,2022,test_new_234
8DTT:L,0,human,K,5.3e-56,179.2,0,110,,,0.0,,0.0,216,1.75,X-RAY DIFFRACTION,0.195,2022-11-23,2022,test_new_234
8DTX:H,0,human,H,9.899999999999999e-56,178.5,0,117,,,0.0,,0.0,221,1.6,X-RAY DIFFRACTION,0.185,2022-11-23,2022,test_new_234
8DTX:L,0,human,K,2.8e-55,176.8,0,110,,,0.0,,0.0,216,1.6,X-RAY DIFFRACTION,0.185,2022-11-23,2022,test_new_234
8DUA:H,0,rhesus,H,4.399999999999999e-53,169.9,0,114,,,0.0,,0.0,115,0,ELECTRON MICROSCOPY,,2022-10-26,2022,test_new_234
8DUA:L,0,human,K,1.8e-57,183.9,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-10-26,2022,test_new_234
8DUZ:H,0,mouse,H,5.6e-54,172.7,0,115,,,0.0,,0.0,209,1.65,X-RAY DIFFRACTION,0.189,2023-07-05,2023,test_new_234
8DUZ:L,0,mouse,L,1.1e-58,187.9,0,108,,,0.0,,0.0,211,1.65,X-RAY DIFFRACTION,0.189,2023-07-05,2023,test_new_234
8DW2:H,0,human,H,1.4e-53,171.5,0,126,,,0.0,,0.0,228,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
8DW2:L,0,human,K,8.3e-56,178.5,0,107,,,0.0,,0.0,213,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
8DW3:H,0,human,H,2.7e-52,167.4,0,118,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
8DW3:L,0,human,K,2e-60,193.5,0,113,,,0.0,,0.0,219,0,ELECTRON MICROSCOPY,,2022-12-07,2022,test_new_234
8DXT:H,0,alpaca,H,3.8999999999999995e-62,199.4,0,122,,,0.0,,0.0,215,2.25,X-RAY DIFFRACTION,0.211,2023-01-18,2023,test_new_234
8DXT:L,0,human,K,8.6e-56,178.5,0,106,,,0.0,,0.0,211,2.25,X-RAY DIFFRACTION,0.211,2023-01-18,2023,test_new_234
8DXU:H,0,alpaca,H,1.2e-61,197.7,0,116,,,0.0,,0.0,219,2.728,X-RAY DIFFRACTION,0.223,2023-01-18,2023,test_new_234
8DXU:L,0,human,K,5.3e-56,179.1,0,107,,,0.0,,0.0,212,2.728,X-RAY DIFFRACTION,0.223,2023-01-18,2023,test_new_234
8DYX:H,0,alpaca,H,1.2e-59,191.3,0,120,,,0.0,,0.0,121,3.0,ELECTRON MICROSCOPY,,2023-08-02,2023,test_new_234
8DYX:L,0,rhesus,L,1.8e-54,174.5,0,111,,,0.0,,0.0,112,3.0,ELECTRON MICROSCOPY,,2023-08-02,2023,test_new_234
8DZ3:H,0,human,H,5.6e-58,185.8,0,123,,,0.0,,0.0,124,2.7,ELECTRON MICROSCOPY,,2023-08-02,2023,test_new_234
8DZ3:L,0,human,K,1.7e-57,184.0,0,104,,,0.0,,0.0,105,2.7,ELECTRON MICROSCOPY,,2023-08-02,2023,test_new_234
8DZH:H,0,human,H,4.200000000000001e-57,182.9,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DZH:L,0,human,K,8.3e-57,181.8,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DZI:H,0,human,H,4.200000000000001e-57,182.9,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8DZI:L,0,human,K,8.3e-57,181.8,0,108,,,0.0,,0.0,109,0,ELECTRON MICROSCOPY,,2022-08-31,2022,test_new_234
8E1G:H,0,alpaca,H,8.5e-61,195.0,0,116,,,0.0,,0.0,213,2.57,X-RAY DIFFRACTION,0.196,2023-06-28,2023,test_new_234
8E1G:L,0,human,K,2.4e-56,180.3,0,107,,,0.0,,0.0,213,2.57,X-RAY DIFFRACTION,0.196,2023-06-28,2023,test_new_234
8E1M:H,0,mouse,H,6.399999999999999e-55,175.7,0,116,,,0.0,,0.0,117,2.9,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E1M:L,0,mouse,K,2.8e-52,167.3,0,110,,,0.0,,0.0,111,2.9,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E6J:H,0,human,H,2.5e-51,164.3,0,124,,,0.0,,0.0,125,2.7,ELECTRON MICROSCOPY,,2023-08-09,2023,test_new_234
8E6J:L,0,human,K,7.7e-57,181.9,0,106,,,0.0,,0.0,107,2.7,ELECTRON MICROSCOPY,,2023-08-09,2023,test_new_234
8E7M:H,0,alpaca,H,6.3e-64,205.1,0,120,,,0.0,,0.0,218,0,ELECTRON MICROSCOPY,,2022-09-28,2022,test_new_234
8E7M:L,0,human,K,3.6e-57,182.9,0,107,,,0.0,,0.0,214,0,ELECTRON MICROSCOPY,,2022-09-28,2022,test_new_234
8E8R:H,0,human,H,5.1e-50,160.0,0,125,,,0.0,,0.0,126,2.66,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E8R:L,0,rhesus,L,1.2e-50,162.1,0,108,,,0.0,,0.0,109,2.66,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E8S:H,0,human,H,5.1e-50,160.0,0,125,,,0.0,,0.0,126,2.73,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E8S:L,0,rhesus,L,3.8e-51,163.7,0,109,,,0.0,,0.0,110,2.73,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E8X:H,0,human,H,2.6e-48,154.5,0,123,,,0.0,,0.0,124,2.91,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E8X:L,0,rhesus,L,2.2e-50,161.3,0,107,,,0.0,,0.0,108,2.91,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E8Y:H,0,human,H,2.1e-49,158.1,0,124,,,0.0,,0.0,125,2.5,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8E8Y:L,0,rhesus,L,1.2e-50,162.1,0,108,,,0.0,,0.0,109,2.5,ELECTRON MICROSCOPY,,2023-06-21,2023,test_new_234
8EB2:H,0,human,H,5.000000000000001e-58,185.9,0,117,,,0.0,,0.0,215,2.9,X-RAY DIFFRACTION,0.239,2022-11-30,2022,test_new_234
8EB2:L,0,rhesus,K,1.4000000000000001e-59,190.9,0,112,,,0.0,,0.0,218,2.9,X-RAY DIFFRACTION,0.239,2022-11-30,2022,test_new_234
8EE0:H,0,rhesus,H,2.3e-60,193.5,0,117,,,0.0,,0.0,211,2.65,X-RAY DIFFRACTION,0.211,2023-05-31,2023,test_new_234
8EE0:L,0,rhesus,K,2.6000000000000004e-57,183.6,0,113,,,0.0,,0.0,215,2.65,X-RAY DIFFRACTION,0.211,2023-05-31,2023,test_new_234
8EE1:H,0,human,H,1e-51,165.5,0,114,,,0.0,,0.0,212,2.7,X-RAY DIFFRACTION,0.225,2023-05-31,2023,test_new_234
8EE1:L,0,human,K,4.2e-53,169.8,0,108,,,0.0,,0.0,205,2.7,X-RAY DIFFRACTION,0.225,2023-05-31,2023,test_new_234
8EE8:H,0,alpaca,H,2e-61,197.0,0,119,,,0.0,,0.0,218,2.803,X-RAY DIFFRACTION,0.241,2023-08-30,2023,test_new_234
8EE8:L,0,rhesus,L,7.3e-51,162.8,0,114,,,0.0,,0.0,217,2.803,X-RAY DIFFRACTION,0.241,2023-08-30,2023,test_new_234
8EEE:H,0,alpaca,H,2.3e-61,196.9,0,125,,,0.0,,0.0,226,2.819,X-RAY DIFFRACTION,0.217,2023-08-30,2023,test_new_234
8EEE:L,0,rhesus,L,4.9e-52,166.6,0,115,,,0.0,,0.0,217,2.819,X-RAY DIFFRACTION,0.217,2023-08-30,2023,test_new_234
8EEZ:H,0,alpaca,H,2e-61,197.1,0,119,,,0.0,,0.0,217,2.25,X-RAY DIFFRACTION,0.186,2023-08-30,2023,test_new_234
8EEZ:L,0,rhesus,L,7.3e-51,162.8,0,114,,,0.0,,0.0,217,2.25,X-RAY DIFFRACTION,0.186,2023-08-30,2023,test_new_234
8EF0:H,0,alpaca,H,2.6e-62,199.9,0,122,,,0.0,,0.0,223,2.55,X-RAY DIFFRACTION,0.185,2023-08-30,2023,test_new_234
8EF0:L,0,rhesus,L,1.5e-52,168.3,0,116,,,0.0,,0.0,218,2.55,X-RAY DIFFRACTION,0.185,2023-08-30,2023,test_new_234
8EF1:H,0,human,H,1.4e-54,174.7,0,128,,,0.0,,0.0,226,1.87,X-RAY DIFFRACTION,0.173,2023-08-30,2023,test_new_234
8EF1:L,0,rhesus,L,1.4e-53,171.6,0,109,,,0.0,,0.0,212,1.87,X-RAY DIFFRACTION,0.173,2023-08-30,2023,test_new_234
8EF2:H,0,human,H,1.5e-54,174.7,0,123,,,0.0,,0.0,227,2.102,X-RAY DIFFRACTION,0.172,2023-08-30,2023,test_new_234
8EF2:L,0,rhesus,L,3.6e-51,163.8,0,115,,,0.0,,0.0,219,2.102,X-RAY DIFFRACTION,0.172,2023-08-30,2023,test_new_234
8EF3:H,0,human,H,1.8e-53,171.2,0,118,,,0.0,,0.0,215,1.672,X-RAY DIFFRACTION,0.182,2023-08-30,2023,test_new_234
8EF3:L,0,rhesus,L,7.4e-50,159.6,0,108,,,0.0,,0.0,211,1.672,X-RAY DIFFRACTION,0.182,2023-08-30,2023,test_new_234
8EK1:H,0,alpaca,H,1.4e-60,194.3,0,119,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2023-03-15,2023,test_new_234
8EK1:L,0,rhesus,K,2.6e-55,177.1,0,107,,,0.0,,0.0,213,0,ELECTRON MICROSCOPY,,2023-03-15,2023,test_new_234
8EK6:H,0,human,H,2e-55,177.5,0,125,,,0.0,,0.0,227,1.954,X-RAY DIFFRACTION,0.185,2023-01-25,2023,test_new_234
8EK6:L,0,human,L,2.9e-50,160.8,0,108,,,0.0,,0.0,212,1.954,X-RAY DIFFRACTION,0.185,2023-01-25,2023,test_new_234
